Source:,C:\Users\Kai Roy\Desktop\ECE 406\Wii Guitar\Wii Guitar PCB\Wii Guitar.kicad_sch,,,,,,,,,,,
Date:,2/26/2023 12:25,,,,,,,,,,,
Tool:,Eeschema (6.0.1),,,,,,,,,,,
Generator:,C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,
Component Count:,35,,,,,,,,,,,
,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,
,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Digikey,MANUFACTURER,MAXIMUM_PACKAGE_HEIGHT,PARTREV,Resistance,STANDARD
,,C1,0.1uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,399-C0805C104K5RAC3123CT-ND,,,,,
,,C2,10nF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,13-CC0805KPX7R9BB103CT-ND,,,,,
,,C3,1uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,1276-6471-1-ND,,,,,
,,C4,10uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,1276-1096-1-ND,,,,,
,,C5,0.1uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,399-C0805C104K5RAC3123CT-ND,,,,,
,,C6,1uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,1276-6471-1-ND,,,,,
,,C7,4.7uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,1276-6471-1-ND,,,,,
,,C8,47pF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,311-1107-1-ND,,,,,
,,C9,47pF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,311-1107-1-ND,,,,,
,,C10,10uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,1276-1096-1-ND,,,,,
,,C11,33uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,1276-6471-1-ND,,,,,
,,FB1,600H,Device:FerriteBead_Small,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,https://www.vishay.com/docs/34102/ilhb.pdf,541-2302-1-ND,,,,,
,,H1,MountingHole_Pad,Mechanical:MountingHole_Pad,MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad_TopBottom,~,,,,,,
,,H2,MountingHole_Pad,Mechanical:MountingHole_Pad,MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad_TopBottom,~,,,,,,
,,H3,MountingHole_Pad,Mechanical:MountingHole_Pad,MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad_TopBottom,~,,,,,,
,,H4,MountingHole_Pad,Mechanical:MountingHole_Pad,MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad_TopBottom,~,,,,,,
,,J1,USB_C_Receptacle_USB2.0,Connector:USB_C_Receptacle_USB2.0,Connector_USB:USB_C_Receptacle_JAE_DX07S024WJ1R350,https://www.usb.org/sites/default/files/documents/usb_type-c.zip,670-2949-1-ND,,,,,
,,J2,Wii Guitar,Connector_Generic:Conn_01x05,Connector_JST:JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,~,,,,,,
,,J3,Battery,Connector_Generic:Conn_01x02,Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,~,,,,,,
,,L1,1.5uH,Device:L,Inductor_SMD:L_Wuerth_MAPI-1610,~,732-78438313015CT-ND,,,,70mR,
,,R1,10kR,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,RNCP0805FTD10K0CT-ND,,,,,
,,R2,560R,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,13-RT0805FRE07560RLCT-ND,,,,,
,,R3,5.1kR,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,738-RMCF0805FT27R0CT-ND,,,,,
,,R4,5.1kR,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,738-RMCF0805FT27R0CT-ND,,,,,
,,R5,1kR,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,738-RMCF0805FT27R0CT-ND,,,,,
,,R6,2kR,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,738-RMCF0805FT27R0CT-ND,,,,,
,,R7,27R,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,738-RMCF0805FT27R0CT-ND,,,,,
,,R8,27R,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,738-RMCF0805FT27R0CT-ND,,,,,
,,R9,10kR,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,RNCP0805FTD10K0CT-ND,,,,,
,,SW1,SW_Push,Switch:SW_Push,Button_Switch_THT:SW_PUSH_6mm,~,486-3458-ND,,,,,
,,U1,ESP32-WROOM-32D,RF_Module:ESP32-WROOM-32D,RF_Module:ESP32-WROOM-32,https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf,1965-ESP32-WROOM-32D(4MBHIGHTEMP)CT-ND,,,,,
,,U2,LM66100DCKT,LM66100DCKT:LM66100DCKT,Package_TO_SOT_SMD:SOT-363_SC-70-6,,296-53540-1-ND,Texas Instruments,1.1 mm,Rev. A,,IPC 7351B
,,U3,BQ24090DGQ,Battery_Management:BQ24090DGQ,Package_SO:HVSSOP-10-1EP_3x3mm_P0.5mm_EP1.57x1.88mm_ThermalVias,http://www.ti.com/lit/ds/symlink/bq24090.pdf,,,,,,
,,U4,FT230XQ,Interface_USB:FT230XQ,Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT230X.pdf,768-1130-1-ND,,,,,
,,U5,TPS63001,Regulator_Switching:TPS63001,Package_SON:Texas_DRC0010J_ThermalVias,http://www.ti.com/lit/ds/symlink/tps63000.pdf,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Collated Components:,,,,,,,,,,,,
,,,,,,,,,,,,
Item,Qty,Reference(s),Digikey,Value,LibPart,Footprint,Datasheet,MANUFACTURER,MAXIMUM_PACKAGE_HEIGHT,PARTREV,Resistance,STANDARD
1,2,"C1, C5",399-C0805C104K5RAC3123CT-ND,0.1uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,
2,1,C2,13-CC0805KPX7R9BB103CT-ND,10nF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,
3,2,"C3, C6",1276-6471-1-ND,1uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,
4,2,"C4, C10",1276-1096-1-ND,10uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,
5,1,C7,1276-1244-1-ND,4.7uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,
6,2,"C8, C9",311-1107-1-ND,47pF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,
7,1,C11,445-8238-1-ND,33uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,~,,,,,
8,1,FB1,541-2302-1-ND,600H,Device:FerriteBead_Small,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,https://www.vishay.com/docs/34102/ilhb.pdf,,,,,
9,4,"H1, H2, H3, H4",,MountingHole_Pad,Mechanical:MountingHole_Pad,MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad_TopBottom,~,,,,,
10,1,J1,670-2949-1-ND,USB_C_Receptacle_USB2.0,Connector:USB_C_Receptacle_USB2.0,Connector_USB:USB_C_Receptacle_JAE_DX07S024WJ1R350,https://www.usb.org/sites/default/files/documents/usb_type-c.zip,,,,,
11,1,J2,,Wii Guitar,Connector_Generic:Conn_01x05,Connector_JST:JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical,~,,,,,
12,1,J3,,Battery,Connector_Generic:Conn_01x02,Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,~,,,,,
13,1,L1,732-78438313015CT-ND,1.5uH,Device:L,Inductor_SMD:L_Wuerth_MAPI-1610,~,,,,70mR,
14,2,"R1, R9",RNCP0805FTD10K0CT-ND,10kR,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,
15,1,R2,13-RT0805FRE07560RLCT-ND,560R,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,
16,2,"R3, R4",P5.1KDACT-ND,5.1kR,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,
17,1,R5,P1.0KBFCT-ND,1kR,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,
18,1,R6,P2.0KBSCT-ND,2kR,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,
19,2,"R7, R8",738-RMCF0805FT27R0CT-ND,27R,Device:R_Small_US,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,~,,,,,
20,1,SW1,486-3458-ND,SW_Push,Switch:SW_Push,Button_Switch_THT:SW_PUSH_6mm,~,,,,,
21,1,U1,1965-ESP32-WROOM-32D(4MBHIGHTEMP)CT-ND,ESP32-WROOM-32D,RF_Module:ESP32-WROOM-32D,RF_Module:ESP32-WROOM-32,https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf,,,,,
22,1,U2,296-53540-1-ND,LM66100DCKT,LM66100DCKT:LM66100DCKT,Package_TO_SOT_SMD:SOT-363_SC-70-6,,Texas Instruments,1.1 mm,Rev. A,,IPC 7351B
23,1,U3,,BQ24090DGQ,Battery_Management:BQ24090DGQ,Package_SO:HVSSOP-10-1EP_3x3mm_P0.5mm_EP1.57x1.88mm_ThermalVias,http://www.ti.com/lit/ds/symlink/bq24090.pdf,,,,,
24,1,U4,768-1130-1-ND,FT230XQ,Interface_USB:FT230XQ,Package_DFN_QFN:QFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT230X.pdf,,,,,
25,1,U5,,TPS63001,Regulator_Switching:TPS63001,Package_SON:Texas_DRC0010J_ThermalVias,http://www.ti.com/lit/ds/symlink/tps63000.pdf,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,Buy ESP 32 from tekbots,,,,,,,,,
